"Especie","Tratamiento","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12","H13","H14","H15","Time","status"
"V. farnesiana","C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","C",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"V. farnesiana","C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","C",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"R. communis","C",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"R. communis","C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","J",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","J",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","J",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","J",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6,1
"R. communis","J",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"R. communis","J",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"R. communis","J",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"V. farnesiana","J",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","J",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"V. farnesiana","J",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","J",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"R. communis","J",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1
"R. communis","J",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","J",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"V. farnesiana","J",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","J",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"V. farnesiana","J",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"V. farnesiana","J",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","J",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","J",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"V. farnesiana","JI",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1
"V. farnesiana","JI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","JI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","JI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"V. farnesiana","JI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","JI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"R. communis","JI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"R. communis","JI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","JI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"R. communis","JI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"V. farnesiana","JI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"V. farnesiana","JI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","JI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"V. farnesiana","JI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"V. farnesiana","JI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"R. communis","JI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"R. communis","JI",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"R. communis","JI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","JI",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,12,1
"R. communis","JI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","CI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","CI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","CI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","CI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","CI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","CI",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1
"R. communis","CI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","CI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","CI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","CI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","CI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","CI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","CI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","CI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","CI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","CI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"R. communis","CI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","CI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","CI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","CI",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,7,1
"V. farnesiana","SN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","SN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","SN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","SN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","SN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","SN",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1
"R. communis","SN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","SN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","SN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","SN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","SN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","SN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","SN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","SN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","SN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","SN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","SN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","SN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"V. farnesiana","SN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
"R. communis","SN",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
